core.externalId,core.name,Parent: Business Term,Parent: Domain,Parent: Subdomain,Parent: System,core.description,core.assetLifecycle,com.infa.ccgf.models.governance.isCDE,com.infa.ccgf.models.governance.FormatDescription,com.infa.ccgf.models.governance.FormatType,com.infa.ccgf.models.governance.securityClassification,com.infa.ccgf.models.governance.Examples,com.infa.ccgf.models.governance.BusinessLogic,com.infa.ccgf.models.governance.AliasNames,com.infa.odin.models.custom.ca_8269725092080610514,com.infa.odin.models.custom.ca_5211450685878080937,com.infa.odin.models.custom.ca_5158005540324682982,com.infa.odin.models.custom.ca_810120234191396501,com.infa.odin.models.custom.ca_3640948772104234602,Classifications,Stakeholder: Admin,Stakeholder: Custom Role - Data Steward,Stakeholder: Governance Administrator,Stakeholder: Governance Owner,Stakeholder: Super Admin,Stakeholder: Bank_Details_Consumer,Stakeholder: test super Stakeholder Role,Stakeholder: Bank_Details_Owner,Stakeholders Type,HierarchicalPath,Operation,core.createdOn,core.createdBy,core.modifiedOn,core.modifiedBy,core.identity,core.location,core.origin
GLOS-1086,Major,,,Sourcing and Assessment | GLOS-916,,The main field of study or specialization pursued by the candidates before joining ZATCA.,Published,true,,Text,Public,,,,,,,,,"",,infa_data,,,"","","","",Assigned,Business Glossary/Human Capital Management/Talent Acquisition/Sourcing and Assessment/Major,Update,"Sep 19, 2024, 06:58:25 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,d9b1d951-b0a6-41d3-88ba-44e44a021890,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/9c4da1a2-fb79-47f4-a0ff-077e35957e9c/33064f6b-71c5-4898-ba81-0ba8fb7414bb/d9b1d951-b0a6-41d3-88ba-44e44a021890,CDGC
Instructor-businessterm-61,Stock Exchange Name,,,Party Stock Exchange | Instructor-subdomain-3,,"Classifications can be of multiple types, such as SIC, NAICS, and medical specialities. The list contains the list of all the available classification types",Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Party/Organization/Party Stock Exchange/Stock Exchange Name,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,da02c6b4-9af4-4381-824e-dad89a9fd52a,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/d95abf73-32e9-49c9-b079-207f29e13640/c275f297-11e7-400c-a2de-b1e6778e326b/da02c6b4-9af4-4381-824e-dad89a9fd52a,CDGC
BT-2,Country Code,,,Human Capital Services | GLOS-922,,,Published,true,,Text,Public,,,,,,,,,"",,,,,"","","","",,Business Glossary/Human Capital Management/Human Capital Services/Country Code,Update,"Sep 25, 2024, 12:24:20 PM",kaviya,"Oct 08, 2024, 01:00:54 PM",infa_admin,da8b4369-22f4-4cf7-938f-0fb6b9c4efde,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/ffa49b9f-3b59-4031-8da5-091255267c58/da8b4369-22f4-4cf7-938f-0fb6b9c4efde,CDGC
BT-26,Employee Identifierr,,,Address Test | SDOM-22,,,Published,false,,Text,,,,,,,,,,"",,,,,"","","","",,DEMO/Address Test/Employee Identifierr,Update,"Jan 08, 2025, 01:13:50 PM",AswathyNagarajan,"Jan 08, 2025, 01:13:50 PM",AswathyNagarajan,de8924cd-ab07-452c-8f55-02b30951ca7a,CDGC://5e49a6fe-8571-4a13-8bd8-ef2331d6beef/f1a04474-233b-46ed-a327-ff6fa90726d6/de8924cd-ab07-452c-8f55-02b30951ca7a,CDGC
BT-90,IS_ACTIVE,,,Andrea_Currency | SDOM-37,,,Published,false,,Text,,,,,Unrestricted,NONE,,,,"",,,,Shefreena,"","","","",Assigned,Currency/Andrea_Currency/IS_ACTIVE,Update,"Mar 05, 2025, 07:09:31 AM",Shefreena,"Mar 05, 2025, 07:09:34 AM",Shefreena,e046015b-a41e-409d-b28d-16a37c17665b,CDGC://13463edd-5b08-4c3d-bb82-abe7282ad3f9/6cc2325b-6dac-4fb5-9745-9d22f8db79e4/e046015b-a41e-409d-b28d-16a37c17665b,CDGC
Instructor-businessterm-168,Tax Authority,,,Party Tax | Instructor-subdomain-30,,"Finance period types, such as month, quarter, first quarter, and year",Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Party/Party Tax/Tax Authority,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,e6ea0aba-2524-403b-b414-a1fab7ffb121,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/5f45f645-5e21-46b1-878c-17ed2bdbbe1f/e6ea0aba-2524-403b-b414-a1fab7ffb121,CDGC
Instructor-businessterm-179,Time Period Value,Time Period | Instructor-businessterm-183,,,,"ID of the product, which maps to an Informatica P360 product.",Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Time Period/Time Period Value,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,e94866ff-1b81-443e-a6d7-b544dbab4919,CDGC://07880aa1-66e4-477c-ab32-b7d0eae99380/e94866ff-1b81-443e-a6d7-b544dbab4919,CDGC
Instructor-businessterm-22,Result Percentage,,Postal Address | Instructor-domain-2,,,Name of Manager employee reports to,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Postal Address/Result Percentage,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,f09ca9bf-c1bb-4db9-813a-92174e34f6fd,CDGC://71a19c09-321a-4359-8a49-e2cfc57c8ee2/f09ca9bf-c1bb-4db9-813a-92174e34f6fd,CDGC
Instructor-businessterm-138,Loyalty Account Status,,,Party Loyalty Account | Instructor-subdomain-24,,Latitude for the address,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Party/Party Loyalty Account/Loyalty Account Status,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,f5112163-4a71-4b0e-9976-ca84c8d8d263,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/15e0c2b5-228d-4035-a2b3-d925c6238f3b/f5112163-4a71-4b0e-9976-ca84c8d8d263,CDGC
BT-67,Department Identifier,,,Employees | SDOM-32,,,Published,false,,Number,Confidential,,,,Unrestricted,NONE,,,,"",,,,,"","","","",,B2B_DWH_Sa/Employees/Department Identifier,Update,"Mar 03, 2025, 11:45:40 AM",Sanjai,"Mar 03, 2025, 11:45:40 AM",Sanjai,f64b8e34-f19e-4bbc-bf61-8f398e363b0d,CDGC://f7f172c4-8f8e-4a44-aa54-119b556f1b5f/a3ea8246-4df7-45e9-a95b-c1d87013e62b/f64b8e34-f19e-4bbc-bf61-8f398e363b0d,CDGC
Instructor-businessterm-58,Executive Name,,,Party Key Executive | Instructor-subdomain-2,,"Code to indicate the status of the alternate identifier. For example, effective, disqualified, expired, and temporary.",Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Party/Organization/Party Key Executive/Executive Name,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,fb1df118-1ccc-484c-ab46-cf01817a43f1,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/d95abf73-32e9-49c9-b079-207f29e13640/bdc0e41e-cbcf-4212-8433-e7c0cd488269/fb1df118-1ccc-484c-ab46-cf01817a43f1,CDGC
GLOS-1067,Weight,,,Performance Management & Career Development | GLOS-910,,The relative importance or weighting assigned to a specific objective or KPI for the employee within ZATCA. ( Percentage ),Published,true,,Text,Public,,,,,,,,,"",,infa_data,,,"","","","",Assigned,Business Glossary/Human Capital Management/Talent & Performance/Performance Management & Career Development/Weight,Update,"Sep 19, 2024, 06:58:25 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,fe942d9c-04ab-462d-9ab2-4ba8afb5b1ba,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/90efae37-5038-47c0-9b26-e0b2d171614c/8fef368b-e25d-44c4-bf69-c5d27ddfd4e5/fe942d9c-04ab-462d-9ab2-4ba8afb5b1ba,CDGC
BT-110,Banking_PersonID,,,,,,Published,false,,Text,,,,,Unrestricted,NONE,No Street Given,Unrestricted,dummy,"",,,,,"","","","",,Banking_PersonID,Update,"Mar 18, 2025, 06:30:32 AM",abish,"Mar 18, 2025, 06:30:32 AM",abish,ff466221-19db-46ec-97a4-1bef94d30a17,CDGC://ff466221-19db-46ec-97a4-1bef94d30a17,CDGC
Instructor-businessterm-93,Employment Type,,,Party Employment | Instructor-subdomain-10,,Flag to indicate whether the phone number is the default number.,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Party/Person/Party Employment/Employment Type,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,ffe80262-2a49-4ce5-93cf-d8014a42dabb,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/a17e5f8f-7de0-4aa3-badd-2764fdb8d54a/79407bed-1880-4440-bb5f-cc9dc34298f5/ffe80262-2a49-4ce5-93cf-d8014a42dabb,CDGC
Instructor-businessterm-38,Finance Period Type,,Financial Profile | Instructor-domain-6,,,Name of the qualification,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Financial Profile/Finance Period Type,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,03d9d332-8797-4b3a-bed3-35b74d7c41e9,CDGC://79eb3936-3be3-44f4-a6b9-376196624a10/03d9d332-8797-4b3a-bed3-35b74d7c41e9,CDGC
Instructor-businessterm-19,Postal Barcode,,Postal Address | Instructor-domain-2,,,Date of birth.,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Postal Address/Postal Barcode,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,0654e960-65ae-4891-b9ef-7a88fe760f48,CDGC://71a19c09-321a-4359-8a49-e2cfc57c8ee2/0654e960-65ae-4891-b9ef-7a88fe760f48,CDGC
Instructor-businessterm-183,Time Period,,,,,This is the landline number used for the Organization.,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Time Period,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,07880aa1-66e4-477c-ab32-b7d0eae99380,CDGC://07880aa1-66e4-477c-ab32-b7d0eae99380,CDGC
BT-141,RandomValue,,,,,,Published,false,,Text,,,,,Unrestricted,NONE,No Street Given,Unrestricted,dummy,"",,,,,"","","","",,RandomValue,Update,"Mar 19, 2025, 12:17:52 PM",AshikaA,"Mar 19, 2025, 12:17:52 PM",AshikaA,0c4886dd-fa66-4b6d-a34f-2a51f99fcb9d,CDGC://0c4886dd-fa66-4b6d-a34f-2a51f99fcb9d,CDGC
GLOS-965,Reason for Action,,,Payroll | GLOS-912,,"Provides the reason or cause behind a specific employment action within ZATCA, offering context for decisions made regarding an employee's status or role.",Published,true,,Text,Public,,,,,,,,,"",,infa_data,,,"","","","",Assigned,Business Glossary/Human Capital Management/Human Capital Services/Payroll/Reason for Action,Update,"Sep 19, 2024, 06:58:25 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,0de02100-2b68-4c22-9423-62670b477026,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/ffa49b9f-3b59-4031-8da5-091255267c58/c69ed606-780f-4e2b-ba57-070879b66e4d/0de02100-2b68-4c22-9423-62670b477026,CDGC
BT-42,EMAIL,,,FF_Customer_SubDomain | SDOM-25,,,Published,false,,Text,,,,EMAIL,,,,,,"",,,vineshv,,"","","","",Assigned,FF_Customer_Domain/FF_Customer_SubDomain/EMAIL,Update,"Jan 10, 2025, 10:05:40 AM",vineshv,"Jan 10, 2025, 10:05:44 AM",vineshv,0e8931ff-819c-469b-8a5d-437bc2f37467,CDGC://84e56b6d-9758-43c6-87c8-1e7152d01b1c/f8957338-b687-4135-b217-1e24faac0cdb/0e8931ff-819c-469b-8a5d-437bc2f37467,CDGC
Instructor-businessterm-167,Tax Number Type,,,Party Tax | Instructor-subdomain-30,,"Specifies the unit for the amount. For example, hundreds, thousands, millions, or billions.",Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Party/Party Tax/Tax Number Type,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,1162e8b1-d508-4a18-a1f2-db5bede4f46a,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/5f45f645-5e21-46b1-878c-17ed2bdbbe1f/1162e8b1-d508-4a18-a1f2-db5bede4f46a,CDGC
BT-108,Banking_AccountNumber,,,,,,Published,false,,Text,,,,,Unrestricted,NONE,No Street Given,Unrestricted,dummy,"",,,,,"","","","",,Banking_AccountNumber,Update,"Mar 18, 2025, 06:29:53 AM",abish,"Mar 18, 2025, 06:29:53 AM",abish,12a27f95-11d1-452f-a359-8cc7d63828b3,CDGC://12a27f95-11d1-452f-a359-8cc7d63828b3,CDGC
BT-127,FamousPlace,,,,,,Published,false,,Text,,,,,Unrestricted,NONE,No Street Given,Unrestricted,dummy,"",,,,,"","","","",,FamousPlace,Update,"Mar 19, 2025, 11:39:42 AM",AshikaA,"Mar 19, 2025, 11:39:42 AM",AshikaA,14aa0990-894d-4c50-85f3-8e4acb4d3fd3,CDGC://14aa0990-894d-4c50-85f3-8e4acb4d3fd3,CDGC
BT-46,PHONE,,,FF_RAH_CUSTOMER | SDOM-24,,,Published,false,,Number,,,,PHONE,,,,,,"",,,,,"","","","",,RAH_FF_DOMAIN/FF_RAH_CUSTOMER/PHONE,Update,"Jan 10, 2025, 10:23:07 AM",RahinR,"Jan 10, 2025, 10:23:07 AM",RahinR,18374f7d-239b-491f-8ca0-0b3f2fc6d3b0,CDGC://72405ab7-d259-4dd8-9ac2-e9bd2d2893bb/342b9ea6-bc66-4623-b1f4-ae63dcd5ad89/18374f7d-239b-491f-8ca0-0b3f2fc6d3b0,CDGC
BT-58,AS_Demo_Term1,AS_Demo_Term | BT-57,,,,,Published,false,,Text,Public,,,,,,,,,"",,AshikaA,,,"","","","",Assigned,D_AS_Demo/AS_Demo_Term/AS_Demo_Term1,Update,"Jan 22, 2025, 01:29:54 PM",AshikaA,"Jan 22, 2025, 01:29:54 PM",AshikaA,19ce9e26-b685-43e8-a3f5-09a615e44ee4,CDGC://d3015593-8c0b-4a93-8f36-f36310da96ae/8be5a6fd-5f80-4179-bc52-a71b6be30a2a/19ce9e26-b685-43e8-a3f5-09a615e44ee4,CDGC
TERM-16,Home Address,,,Employee Details | Subdomain-1,,Home Address of the Employee,Published,false,,Text,,,,Home Address,,,,,,"",,anfeezas,,,"","","","",Assigned,AS_HR/Employee Details/Home Address,Update,"Jan 13, 2025, 05:28:32 AM",anfeezas,"Jan 13, 2025, 05:28:32 AM",anfeezas,1b4f2f80-0f67-4a32-8dc6-41390a40ad5f,CDGC://cc017be5-6641-411a-8949-d0f5d2ccda45/3664eeb3-5f92-483e-a55d-71575e4e0c65/1b4f2f80-0f67-4a32-8dc6-41390a40ad5f,CDGC
BT-69,Last Nm,,,Employees | SDOM-32,,,Published,true,,Number,Confidential,,,,Unrestricted,NONE,,,,"",,,,,"","","","",,B2B_DWH_Sa/Employees/Last Nm,Update,"Mar 03, 2025, 11:45:40 AM",Sanjai,"Mar 03, 2025, 11:45:40 AM",Sanjai,1cfc0faf-a587-4fd1-b917-ca472ee3aa11,CDGC://f7f172c4-8f8e-4a44-aa54-119b556f1b5f/a3ea8246-4df7-45e9-a95b-c1d87013e62b/1cfc0faf-a587-4fd1-b917-ca472ee3aa11,CDGC
BT-119,Year,,,,,,Published,false,,Text,,,,,Unrestricted,NONE,No Street Given,Unrestricted,dummy,"",,,,,"","","","",,Year,Update,"Mar 19, 2025, 11:09:17 AM",AshikaA,"Mar 19, 2025, 11:09:17 AM",AshikaA,1d478f16-325d-4f79-9cc1-f012fa11e85c,CDGC://1d478f16-325d-4f79-9cc1-f012fa11e85c,CDGC
BT-45,LASTNAME,,,FF_RAH_CUSTOMER | SDOM-24,,,Published,false,,Text,,,,LASTNAME,,,,,,"",,,,,"","","","",,RAH_FF_DOMAIN/FF_RAH_CUSTOMER/LASTNAME,Update,"Jan 10, 2025, 10:23:07 AM",RahinR,"Jan 10, 2025, 10:23:07 AM",RahinR,1f0d409e-e036-4353-ae62-64015e911013,CDGC://72405ab7-d259-4dd8-9ac2-e9bd2d2893bb/342b9ea6-bc66-4623-b1f4-ae63dcd5ad89/1f0d409e-e036-4353-ae62-64015e911013,CDGC
GLOS-1065,Threshold,,,Performance Management & Career Development | GLOS-910,,The minimum acceptable level of performance set for a specific objective or KPI for the employee.,Published,true,,Text,Public,,,,,,,,,"",,infa_data,,,"","","","",Assigned,Business Glossary/Human Capital Management/Talent & Performance/Performance Management & Career Development/Threshold,Update,"Sep 19, 2024, 06:58:25 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,25c3dc14-aba4-4c9d-bc5b-a6ca1d4f72f1,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/90efae37-5038-47c0-9b26-e0b2d171614c/8fef368b-e25d-44c4-bf69-c5d27ddfd4e5/25c3dc14-aba4-4c9d-bc5b-a6ca1d4f72f1,CDGC
Instructor-businessterm-5,Address Line 3,,Postal Address | Instructor-domain-2,,,Date of incorporation of the organization.,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Postal Address/Address Line 3,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,264af49f-a101-4df5-84d1-4cb9eb593bf3,CDGC://71a19c09-321a-4359-8a49-e2cfc57c8ee2/264af49f-a101-4df5-84d1-4cb9eb593bf3,CDGC
GLOS-1098,Notes,,,QA & HRSM | GLOS-911,,is a field where users can add additional information or comments related to job positions or other HR records for internal reference.,Published,true,,Text,Public,,,,,,,,,"",,infa_data,,,"","","","",Assigned,Business Glossary/Human Capital Management/Human Capital Services/QA & HRSM/Notes,Update,"Sep 19, 2024, 06:58:25 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,2750cdf9-aa2d-4c69-955c-502686fc84d8,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/ffa49b9f-3b59-4031-8da5-091255267c58/b08a691f-48fe-4957-86eb-b68a4dbcb1ff/2750cdf9-aa2d-4c69-955c-502686fc84d8,CDGC
GLOS-1010,Location,,,OD & Manpower Planning | GLOS-918,,Unique identification number or code that represents the physical location  where the employee works.,Published,true,,Text,Public,,Each code must be a unique value to avoid duplications.,,,,,,,"",,infa_data,,,"","","","",Assigned,Business Glossary/Human Capital Management/HC COE/OD & Manpower Planning/Location,Update,"Sep 19, 2024, 06:58:25 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,2d28c586-8bdf-4e51-9bb3-4638f35ba7b3,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/d7855461-546b-487f-a589-593392eae9b2/e340a38e-6ac3-4db8-a04f-eb444b07b408/2d28c586-8bdf-4e51-9bb3-4638f35ba7b3,CDGC
Instructor-businessterm-23,State,,Postal Address | Instructor-domain-2,,,Department employee works in,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Postal Address/State,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,2dee4900-80e8-4aa3-9f67-c3e01d50dbd8,CDGC://71a19c09-321a-4359-8a49-e2cfc57c8ee2/2dee4900-80e8-4aa3-9f67-c3e01d50dbd8,CDGC
Instructor-businessterm-13,Deliverable Indicator,,Postal Address | Instructor-domain-2,,,Given name of the party.,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Postal Address/Deliverable Indicator,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,2e707941-941a-4c4d-bc00-b2dbe02d2009,CDGC://71a19c09-321a-4359-8a49-e2cfc57c8ee2/2e707941-941a-4c4d-bc00-b2dbe02d2009,CDGC
Instructor-businessterm-40,Reliability,,Financial Profile | Instructor-domain-6,,,Name of the institution,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Financial Profile/Reliability,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,305927fd-dee8-496b-92ec-8feb973c0dd1,CDGC://79eb3936-3be3-44f4-a6b9-376196624a10/305927fd-dee8-496b-92ec-8feb973c0dd1,CDGC
BT-87,DATA_SOURCE_NAME,,,Andrea_Currency | SDOM-37,,,Published,false,,Text,,,,,Unrestricted,NONE,,,,"",,,,Shefreena,"","","","",Assigned,Currency/Andrea_Currency/DATA_SOURCE_NAME,Update,"Mar 05, 2025, 07:04:18 AM",Shefreena,"Mar 05, 2025, 07:04:22 AM",Shefreena,30c76fd3-738d-4ac9-8426-e0c6d16ca5ff,CDGC://13463edd-5b08-4c3d-bb82-abe7282ad3f9/6cc2325b-6dac-4fb5-9745-9d22f8db79e4/30c76fd3-738d-4ac9-8426-e0c6d16ca5ff,CDGC
Instructor-businessterm-170,Registered Address Indicator,,,Party Postal Address | Instructor-subdomain-31,,"Reliability of the financial data, if the data is actual or an estimate.",Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Party/Party Postal Address/Registered Address Indicator,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,30e06509-6bb2-4583-a845-042314cd723a,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/751cf73c-53bf-48ff-b5b8-a45de0ac77e2/30e06509-6bb2-4583-a845-042314cd723a,CDGC
GLOS-1036,Event,,,HCM Joint Terms - Group 1 | GLOS-926,,"Code associated with the specific event, making it easier to identify and understand the event type.",Published,true,,Text,Public,,This field should exclusively accept 3 digit numerical values only.,,,,,,,"",,infa_data,,,"","","","",Assigned,Business Glossary/Human Capital Management/HCM Joint Terms - Group 1/Event,Update,"Sep 19, 2024, 06:58:25 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,31558ac8-2dd3-4eb5-88b9-4b3243d231f7,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/7176ee1b-61c9-40fa-abe4-8b90974a65f9/31558ac8-2dd3-4eb5-88b9-4b3243d231f7,CDGC
BT-121,NAME,,,,,,Published,false,,Text,,,,,Unrestricted,NONE,No Street Given,Unrestricted,dummy,"",,,,,"","","","",,NAME,Update,"Mar 19, 2025, 11:18:47 AM",AshikaA,"Mar 19, 2025, 11:18:47 AM",AshikaA,31c5ac3c-273c-4cd1-a964-a6e08562ce2a,CDGC://31c5ac3c-273c-4cd1-a964-a6e08562ce2a,CDGC
GLOS-991,Job Title (Classification) (Label),,,OD & Manpower Planning | GLOS-918,,The label or name of the job title classification associated with the position.,Published,true,,Text,Public,,There should be a 1 to 1 mapping between the Job Title (Classification) (label) and its code.,,,,,,,"",,infa_data,,,"","","","",Assigned,Business Glossary/Human Capital Management/HC COE/OD & Manpower Planning/Job Title (Classification) (Label),Update,"Sep 19, 2024, 06:58:25 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,34c40a26-a8a7-44e0-a4ca-999425fada78,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/d7855461-546b-487f-a589-593392eae9b2/e340a38e-6ac3-4db8-a04f-eb444b07b408/34c40a26-a8a7-44e0-a4ca-999425fada78,CDGC
Instructor-businessterm-48,Insurance Provider,,Insurance | Instructor-domain-7,,,Name of the employer.,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Insurance/Insurance Provider,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,35d174d7-efb2-4e8c-b247-bba05656cb8b,CDGC://6b48bc97-e35b-4ab4-8248-5cc5354c1bd8/35d174d7-efb2-4e8c-b247-bba05656cb8b,CDGC
BT-107,Banking_Balance,,,,,,Published,false,,Text,,,,,Unrestricted,NONE,No Street Given,Unrestricted,dummy,"",,,,,"","","","",,Banking_Balance,Update,"Mar 18, 2025, 06:29:37 AM",abish,"Mar 18, 2025, 06:29:37 AM",abish,39bb1476-dc38-4122-a4c7-cc8f8655cc10,CDGC://39bb1476-dc38-4122-a4c7-cc8f8655cc10,CDGC
Instructor-businessterm-4,Address Line 2,,Postal Address | Instructor-domain-2,,,Business title of the party.,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Postal Address/Address Line 2,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,3d0cd219-b57b-4c01-948d-72946f8e781b,CDGC://71a19c09-321a-4359-8a49-e2cfc57c8ee2/3d0cd219-b57b-4c01-948d-72946f8e781b,CDGC
Instructor-businessterm-180,Time Period Type,Time Period | Instructor-businessterm-183,,,,"A product identifier type can be ID (internal product ID) or EAN, which is the Global Trade Item Number (GTIN). It can also be any manufacturer or supplier product identifier.",Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Time Period/Time Period Type,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,3e7ec719-cdd2-48ac-a74a-4998889d7817,CDGC://07880aa1-66e4-477c-ab32-b7d0eae99380/3e7ec719-cdd2-48ac-a74a-4998889d7817,CDGC
BT-142,Degree,,,,,,Published,false,,Text,,,,,Unrestricted,NONE,No Street Given,Unrestricted,dummy,"",,,,,"","","","",,Degree,Update,"Mar 19, 2025, 12:21:54 PM",AshikaA,"Mar 19, 2025, 12:21:54 PM",AshikaA,3f73f391-a105-4433-9173-5a68a1dc8034,CDGC://3f73f391-a105-4433-9173-5a68a1dc8034,CDGC
Instructor-businessterm-152,Phone Validation Status Code,,,Party Phone Communication | Instructor-subdomain-26,,Name of the time period group.,Published,true,,Text,Public,,,,,,,,,"",,infa_data,infa_admin,,"","","","",Assigned,Party/Party Phone Communication/Phone Validation Status Code,Update,"Oct 01, 2024, 08:08:42 AM",infa_admin,"Oct 08, 2024, 01:00:54 PM",infa_admin,411307d2-595f-42fa-ac6e-0bab8ddbff6f,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/4ecadc7f-fdea-403a-9a38-81dd057c5b38/411307d2-595f-42fa-ac6e-0bab8ddbff6f,CDGC
